,1,2,3,4,5,6,p_final,r71,r72,r73,r81,r82,r83,r84,r85,R71,R72,R73,R81,R82,R83,R84,R85,pR71,pR72,pR73,pR81,pR82,pR83,pR84,pR85
10,1.1,2.1,3.1,4.2,5.1,6.3,0.0005187617098184939,0.76608,0.09359999999999995,0.0,0.24336000000000002,3.6115200000000005,4.573799999999999,0.331776,0.8568000000000001,0.8911222780569515,0.10887772194304852,0.0,0.025304515134046555,0.37552499382360216,0.47558264020423285,0.03449798986322086,0.08908986097489764,0.0004622801166221755,5.6481593196318404e-05,0.0,1.3127013537065945e-05,0.0001948079878755112,0.00024671406359234144,1.7896236206745525e-05,4.6216408606829815e-05
11,1.1,2.1,3.1,4.2,5.1,6.4,0.00010375234196369875,0.65664,0.09359999999999995,0.0,0.14976,2.2572,5.821199999999999,0.497664,0.5140800000000001,0.8752399232245682,0.12476007677543181,0.0,0.016207960602188078,0.24428825234547893,0.6300065455225509,0.05386029984727114,0.055636941682511,9.080819181467684e-05,1.2944150149021912e-05,0.0,1.681613870932374e-06,2.5345478295062463e-05,6.536465455042424e-05,5.588132248021427e-06,5.772462999258246e-06
12,1.1,2.1,3.1,4.2,5.2,6.1,0.0007295086544322568,8.372160000000001,7.160399999999999,0.0,1.5444000000000004,3.16008,0.41580000000000006,0.055296000000000005,6.39744,0.5390070921985816,0.4609929078014184,0.0,0.13344835952875211,0.2730558741126773,0.035928404488510174,0.004778011194316158,0.5527893506757443,0.00039321033855923063,0.00033629831587302615,0.0,9.735173319601198e-05,0.0001991966233087629,2.6210082014310912e-05,3.4856005172278406e-06,0.00040326461539594315
13,1.1,2.1,3.1,4.2,5.2,6.2,0.0003161204169206446,4.1860800000000005,5.054399999999999,0.0,1.4414400000000003,3.3858,0.8316000000000001,0.152064,6.79728,0.45301542776998605,0.546984572230014,0.0,0.11432574270806962,0.268539862679669,0.06595715925465555,0.01206073769227987,0.5391164976653259,0.00014320742589813215,0.00017291299102251243,0.0,3.614070144963731e-05,8.489093335010961e-05,2.0850404682483062e-05,3.8126454276540457e-06,0.00017042573201076053
14,1.1,2.1,3.1,4.2,5.2,6.3,0.00043770519265935406,3.25584,0.8423999999999998,0.0,1.3384800000000003,3.6115200000000005,0.9147600000000002,0.165888,3.9983999999999997,0.7944483485593816,0.20555165144061838,0.0,0.133460324449539,0.3601059641952058,0.09121105014154884,0.016540752422363518,0.39868190879134285,0.0003477341674640898,8.997102519526426e-05,0.0,5.8416277025565374e-05,0.00015762025043584502,3.992355027486864e-05,7.239973225761301e-06,0.00017450514169731375
15,1.1,2.1,3.1,4.2,5.2,6.4,1.9453564118193505e-05,2.79072,0.8423999999999998,0.0,0.8236800000000003,2.2572,1.1642400000000002,0.248832,2.39904,0.7681331747919143,0.23186682520808558,0.0,0.11949527868304506,0.32746302331411375,0.16890198044622712,0.03609927300075206,0.34804044455586186,1.4942927967126044e-05,4.5106361510674586e-06,0.0,2.3246090656820185e-06,6.370322920378607e-06,3.285745506300545e-06,7.022595219403018e-07,6.7706271038920305e-06
16,1.1,2.1,3.2,4.1,5.1,6.1,5.7063788080034315e-05,0.20736,0.7160399999999998,0.0,0.0,0.86184,2.4299999999999997,1.4929920000000008,0.23500800000000002,0.22456140350877196,0.775438596491228,0.0,0.0,0.1716867469879518,0.4840791738382099,0.29741824440619635,0.046815834767642,1.2814324340779638e-05,4.4249463739254675e-05,0.0,0.0,9.797096146270952e-06,2.7623391389861702e-05,1.697181166993104e-05,2.6714888739706256e-06
17,1.1,2.1,3.2,4.1,5.1,6.2,0.00022191473142235568,0.10368,0.5054399999999999,0.0,0.0,0.9234,4.859999999999999,4.105728000000002,0.249696,0.17021276595744683,0.8297872340425532,0.0,0.0,0.09107565137731949,0.47934553356483933,0.4049511067555765,0.02462770830226464,3.77727202421031e-05,0.0001841420111802526,0.0,0.0,2.021102871451395e-05,0.0001063738353395471,8.986461609484945e-05,5.4652512734451765e-06
18,1.1,2.1,3.2,4.1,5.1,6.3,0.0005072336718225275,0.08063999999999999,0.08423999999999997,0.0,0.0,0.9849600000000001,5.346,4.478976000000002,0.14688,0.48908296943231444,0.5109170305676854,0.0,0.0,0.0898947285415763,0.48791546741316083,0.4087844497890629,0.013405354256199976,0.0002480793504110178,0.0002591543214115096,0.0,0.0,4.559763323563311e-05,0.00024748715407498233,0.000207349237450458,6.79964706145406e-06
19,1.1,2.1,3.2,4.1,5.1,6.4,0.00012173608123740656,0.06912,0.08423999999999997,0.0,0.0,0.6156,6.8039999999999985,6.718464000000003,0.088128,0.4507042253521128,0.5492957746478873,0.0,0.0,0.04327229662020589,0.47827275211806497,0.47226018037715245,0.006194770884576843,5.48669661915072e-05,6.686911504589937e-05,0.0,0.0,5.267799816686537e-06,5.822305060548277e-05,5.7491103683585306e-05,7.541271316519675e-07
